nso,nna,ndo,fso,fna,fdo,lso,lna,ldo,ncost,fcost,lcost,nlimit,export1,export2,pstar
33.12,21.904,33.696,0.0,0.001,0.0,0.0,0.0,0.0,20.127961052020495,1.0961204067537684,8.804717530398001,22.0,0.004617467944128001,0.6570888406542721,0.017
33.104,21.68,33.696,0.0,0.001,0.0,0.0,0.0,0.0,19.77864037375945,1.0961204067537684,8.804717530398001,22.0,0.004625216339328,0.6698665199341441,0.018000000000000002
33.088,21.424,33.696,0.0,0.001,0.0,0.0,0.0,0.0,19.387299425105628,1.0961204067537684,8.804717530398001,22.0,0.00463420447776,0.6843940967859841,0.018000000000000002
33.088,21.136,33.696,0.0,0.001,0.0,0.0,0.0,0.0,18.977268037809665,1.0961204067537684,8.804717530398001,22.0,0.004644742295232,0.700985004864768,0.018000000000000002
33.071999999999996,20.784000000000002,33.711999999999996,0.0,0.001,0.0,0.0,0.0,0.0,18.463955758476413,1.0961204067537684,8.804717530398001,22.0,0.004657184004096,0.720029099140416,0.019
33.056,20.4,33.711999999999996,0.0,0.001,0.0,0.0,0.0,0.0,17.916394152787554,1.0961204067537684,8.804717530398001,22.0,0.004671928093248001,0.742017804974784,0.019
33.04,19.952,33.711999999999996,0.0,0.001,0.0,0.0,0.001,0.0,17.29565563928963,1.0961204067537684,8.799801157333912,22.0,0.004689594434304,0.7675794065272321,0.02
33.008,19.408,33.711999999999996,0.0,0.001,0.0,0.0,0.001,0.001,16.54621072074207,1.0961204067537684,8.799381789953445,22.0,0.004710847175424001,0.797530318992576,0.021
32.992,18.784000000000002,33.728,0.0,0.001,0.0,0.0,0.001,0.001,15.742985240071754,1.0961204067537684,8.799381789953445,22.0,0.00473670467712,0.832951111427136,0.022000000000000002
32.96,18.032,33.728,0.0,0.002,0.0,0.0,0.001,0.001,14.797822569304172,1.0913633580149267,8.799381789953445,22.0,0.004768495235712,0.8753023341878401,0.023
32.912,17.12,33.728,0.0,0.002,0.0,0.0,0.001,0.001,13.698641414203607,1.0913633580149267,8.799381789953445,22.0,0.00480821129568,0.9266068940169601,0.024
32.88,16.0,33.744,0.0,0.002,0.0,0.0,0.001,0.001,12.473399346219791,1.0913633580149267,8.799381789953445,22.0,0.004858598002752,0.989747193928896,0.026000000000000002
32.816,14.592,33.76,0.0,0.002,0.0,0.0,0.001,0.001,11.04053258774862,1.0913633580149267,8.799381789953445,22.0,0.0049237287989759996,1.06892078312448,0.027999999999999997
32.751999999999995,12.784,33.775999999999996,0.0,0.002,0.0,0.0,0.001,0.001,9.450694621697458,1.0913633580149267,8.799381789953445,22.0,0.005010510825216001,1.17062489022336,0.03
32.656,10.4,33.792,0.0,0.002,0.001,0.001,0.002,0.002,7.728576387801615,1.0911051167569874,8.790353967185657,22.0,0.005130677365632,1.305303422147712,0.034
32.528,7.104,33.808,0.0,0.003,0.001,0.001,0.002,0.002,6.083017696302782,1.0863646829631621,8.790353967185657,22.0,0.005305791097152,1.4907585603905282,0.038
32.336,2.32,33.856,0.0,0.003,0.001,0.001,0.003,0.003,5.1939037091476,1.0863646829631621,8.7850235678173,22.0,0.0055790659267200005,1.759662276705216,0.045
